name;01.01.2015;01.01.2016;01.01.2017;01.01.2018;01.01.2019;01.01.2020,,,,,,
Õ1;4,5227;5,3676;19,6965;51,1292;8,977;29,4588
Õ2;45,8702;19,4731;3,1022;3,8808;5,5888;4,6446
Õ3;55,9792;63,0322;62,2816;30,0411;37,5594;35,369
Õ4;5,3681;16,4472;16,142;19,9927;19,106;12,8384
Õ5;13,2351;33,9024;40,6429;51,0713;77,2209;73,642
Õ6;19,5061;18,0615;12,1592;10,2597;0;0,,
Õ7;19,5003;28,4702;37,5355;47,4691;0;0,,
Õ8;19,9884;8,2099;15,3281;11,2989;8,2878;6,756
Õ9;1,7166;1,0239;1,183;2,0506;3,458;0,
Õ10;1,0208;1,3327;18,0728;6,9511;14,1906;0,
Õ11;13,5793;14,6676;12,2325;10,3098;0;0,,
Õ12;7,7555;7,2944;5,751;4,1839;5,0329;5,2492
Õ13;16,8623;6,569;16,7276;6,5837;9,0138;6,13
Õ14;26,4873;30,1115;24,0441;19,8999;0;0,,
Õ15;16,3132;17,483;2,763;3,7473;1,6859;15,3975
Õ16;23,0376;20,4906;27,5729;29,5341;9,6538;10,1569
Õ17;9,7649;10,8942;8,7953;5,5963;8,4357;52,4935
Õ18;7,1908;1,5393;0,6231;2,2279;0;0,,
Õ19;0,9861;1,8817;2,5417;1,5873;0;0,,
Õ20;14,1524;14,602;9,129;6,3685;6,2772;4,9774
Õ21;23,0225;25,9808;22,897;19,6724;6,1551;6,1443
Õ22;55,2511;66,95;44,2969;15,9732;20,5029;18,4977
Õ23;38,8747;27,7766;40,5666;58,4763;55,8062;62,4059
Õ24;37,5908;30,2498;18,968;10,4794;16,7687;12,8243
Õ25;12,8613;17,9726;5,8222;6,6372;7,5196;0,
Õ26;34,0146;36,5745;58,5323;0;0;0,,,
Õ27;15,6851;16,6852;15,3783;18,3588;26,6761;25,1187
Õ28;53,2013;56,6501;31,8174;24,0488;37,7927;27,3931
Õ29;19,4662;8,8431;11,3355;8,089;2,3022;7,8749
Õ30;17,8425;21,825;16,452;23,1598;0;0,,
Õ31;10,6544;20,3404;9,3411;11,268;0;0,,
Õ32;27,0068;37,8304;30,9303;38,0283;52,5907;0,
Õ33;11,8042;22,7599;4,8449;7,5244;0;0,,
Õ34;4,6311;5,5219;9,6282;3,9396;6,8938;6,3694
Õ35;14,8516;12,514;4,7002;3,6278;0;0,,
Õ36;17,0369;7,7438;18,2866;10,8011;19,3116;6,6677
Õ37;24,0201;20,9442;25,8522;32,0438;14,8588;19,7297
Õ38;13,8187;16,5105;6,8887;7,7278;6,8333;0,
Õ39;11,2415;15,0858;7,4427;4,9784;5,708;4,9297
