type;name;01.01.2015;01.01.2016;01.01.2017;01.01.2018;01.01.2019;01.01.2020
D;73.16;0;0;0;0;0;0
D;74.16;13.8609;29.1168;0;0;0;0
D;75.16;4.9328;0;0;0;0;0
D;76.16;10.7851;0;0;0;0;0
D;77.16;0;0;0;0;0;0
D;78.16;14.1611;0;0;0;0;0
D;79.16;9.5023;0;0;0;0;0
D;80.16;11.7806;0;0;0;0;0
D;81.16;11.523;41.9226;0;0;0;0
D;82.16;18.5557;19.8774;0;0;0;0
D;83.16;21.402;0;0;0;0;0
D;84.16;9.2399;0;0;0;0;0
D;1.17;7.6777;0;0;0;0;0
D;2.17;11.4615;5.3782;8.7229;0;0;0
D;3.17;27.3754;9.8728;0;0;0;0
D;4.17;13.7654;11.4694;7.7367;0;0;0
D;5.17;12.5506;0;0;0;0;0
D;6.17;38.7768;0;0;0;0;0
D;7.17;62.0433;64.7837;0;0;0;0
D;8.17;15.3801;0;0;0;0;0
D;9.17;0;17.343;4.739;0;0;0
D;10.17;13.7953;16.3678;0;0;0;0
D;11.17;12.3204;0;0;0;0;0
D;12.17;22.3643;18.3148;0;0;0;0
D;13.17;19.4657;0;0;0;0;0
D;14.17;32.4143;24.5011;0;0;0;0
D;15.17;14.8906;19.6141;13.8499;0;0;0
D;16.17;43.2304;54.6751;53.6252;0;0;0
D;17.17;0;0;0;0;0;0
D;18.17;5.9801;0;0;0;0;0
D;19.17;0;0;0;0;0;0
D;20.17;14.3085;27.8607;15.2047;0;0;0
D;21.17;38.0162;28.3149;14.8487;0;0;0
D;22.17;7.9556;3.0977;0;0;0;0
D;23.17;6.5868;0;0;0;0;0
D;24.17;27.2588;0;0;0;0;0
D;25.17;22.8767;23.0077;17.1599;0;0;0
D;26.17;21.9142;27.7658;0;0;0;0
D;27.17;3.506;0;0;0;0;0
D;28.17;16.3441;15.6701;0;0;0;0
D;29.17;0;0;0;0;0;0
D;30.17;14.419;14.2864;0;0;0;0
D;31.17;19.9656;0;0;0;0;0
D;32.17;0;0;0;0;0;0
D;33.17;13.1667;0;0;0;0;0
D;34.17;28.9336;20.823;33.6531;0;0;0
D;35.17;17.5975;26.9382;26.5333;0;0;0
D;36.17;28.6895;18.5014;0;0;0;0
D;37.17;6.5549;8.9008;0;0;0;0
D;38.17;11.755;16.2022;12.9277;0;0;0
D;39.17;11.0069;0;0;0;0;0
D;40.17;24.7897;6.5483;0;0;0;0
D;41.17;0;0;0;0;0;0
D;1.18;0;14.9661;14.0449;10.7123;0;0
D;2.18;14.0313;16.5361;29.809;27.7048;0;0
D;3.18;21.1312;17.4212;10.0926;0;0;0
D;4.18;17.2384;17.3816;10.9947;4.2325;0;0
D;5.18;19.4821;14.0676;8.6433;9.0715;0;0
D;6.18;11.3246;17.4901;21.2615;23.6808;0;0
D;7.18;14.7581;9.8562;10.5911;10.8475;0;0
D;8.18;3.8938;4.2026;3.5309;3.3959;0;0
D;9.18;14.226;47.5687;10.6573;11.4094;0;0
D;10.18;33.845;35.8238;36.6433;43.4342;0;0
D;11.18;17.6877;22.4999;15.6432;17.9287;0;0
D;12.18;9.8544;8.163;8.4347;6.9048;0;0
D;13.18;16.86;12.3544;5.613;5.9229;0;0
D;14.18;14.5698;14.1064;11.5369;11.0412;0;0
D;15.18;46.4944;47.9022;22.3879;13.4585;0;0
D;16.18;6.5813;0;0;0;0;0
D;17.18;9.7579;12.6933;8.3062;0;0;0
D;18.18;0;0;15.172;13.2687;0;0
D;19.18;29.7705;24.1136;10.0423;7.4516;0;0
D;20.18;16.684;41.519;28.2993;37.9552;0;0
D;21.18;5.527;8.2187;4.9189;0;0;0
D;22.18;24.0242;31.897;22.248;19.7139;0;0
D;23.18;37.9573;35.967;44.4926;0;0;0
D;24.18;10.4136;10.005;12.015;10.7099;0;0
D;25.18;5.7708;4.7091;4.9319;6.0272;0;0
D;26.18;33.5577;0;0;0;0;0
D;27.18;3.5013;3.2592;2.3318;10.9681;0;0
D;28.18;8.7392;16.6998;11.2517;0;0;0
D;29.18;29.7879;18.9108;15.4527;5.6421;0;0
D;30.18;11.696;26.7124;4.8845;11.2626;0;0
D;31.18;12.2992;0;8.6427;10.7096;0;0
D;32.18;51.5661;0;0;0;0;0
D;33.18;9.6748;0;0;0;0;0
D;34.18;11.22;0;0;0;0;0
D;35.18;48.2375;55.5041;47.7242;0;0;0
D;36.18;15.0689;13.8813;13.8112;13.885;0;0
D;37.18;3.8661;6.3514;11.4853;6.6496;0;0
D;38.18;4.7326;2.8546;9.9876;2.5116;0;0
D;39.18;31.2752;23.5998;16.2767;23.2072;0;0
D;40.18;15.3088;15.4316;10.2211;0;0;0
D;41.18;0;0;6.2251;6.7354;0;0
D;42.18;13.2957;9.1079;5.6825;10.9055;0;0
D;43.18;5.0042;18.2824;9.7571;0;0;0
D;44.18;37.2277;46.7395;52.8684;11.9095;0;0
D;45.18;11.1936;21.6073;0;0;0;0
D;46.18;37.1675;27.9625;13.2662;0;0;0
D;47.18;3.3262;29.1285;23.3138;11.9275;0;0
D;1.19;0;0;0;0;0;0
D;2.19;7.5524;14.2269;14.9922;0;0;0
D;3.19;18.3624;13.7298;12.1192;13.3447;0;0
D;4.19;0;36.1792;48.861;27.4157;0;0
D;5.19;20.844;29.2118;0;0;0;0
D;6.19;38.715;64.6005;30.0868;24.4876;0;0
D;7.19;7.2035;25.4102;6.2097;23.5539;0;0
D;8.19;22.5447;11.8347;11.0624;16.4695;14.2031;0
D;9.19;19.7675;42.1889;16.1794;16.4588;0;0
D;10.19;26.1272;26.2567;28.1265;22.0274;0;0
D;11.19;19.4649;0;0;0;0;0
D;12.19;12.748;21.754;14.4912;11.8365;0;0
D;13.19;18.0584;0;21.7783;16.1934;9.9363;0
D;14.19;8.4145;6.5476;5.5042;3.8006;0;0
D;15.19;13.6615;11.8447;12.0269;9.3159;0;0
D;16.19;12.5199;21.034;7.8076;22.4064;0;0
D;17.19;24.8647;34.4577;9.3336;14.4259;4.4301;0
D;18.19;4.0033;8.4122;9.8242;12.8831;0;0
D;19.19;35.3785;34.3527;14.3232;18.34;0;0
D;20.19;19.7057;29.0623;38.2396;18.8348;0;0
D;21.19;76.0822;71.0382;39.0245;29.2478;0;0
D;22.19;32.7578;45.9852;52.8125;60.4663;0;0
D;23.19;39.9051;22.939;55.548;14.0552;0;0
D;1.2;17.8686;17.9098;16.8307;18.9052;0;0
D;2.2;12.057;24.5729;17.8808;13.5445;11.1917;37.2759
D;3.2;16.5714;24.453;51.5263;23.6894;0;0
D;4.2;11.5329;6.1207;4.6006;5.6192;0;0
D;5.2;36.1327;30.7259;13.6054;11.7057;0;0
D;6.2;0;0;19.823;12.7591;13.0589;0
D;7.2;10.8628;37.6066;39.2349;11.2771;23.3633;10.84
D;8.2;40.1586;34.9114;17.9011;14.1454;0;0
D;9.2;15.8923;30.3303;17.7149;17.7858;0;0
D;10.2;41.1031;18.9173;19.6886;31.8948;8.6439;0
D;11.2;19.056;17.3639;16.5208;17.5051;12.9673;0
D;12.2;28.1384;39.6146;39.4902;44.0871;0;0
