type;name;01.01.2015;01.01.2016;01.01.2017;01.01.2018;01.01.2019;01.01.2020
G;103;28.1477;28.1837;23.9958;23.8499;0;0
G;104;0;0;0;0;45.2537;52.518
G;105;41.922;36.8379;26.597;19.6625;0;0
G;106;27.1532;46.3255;50.9226;19.2893;49.2098;43.705
G;107;43.0457;38.6386;42.2601;43.6715;57.5726;56.4066
G;108;7.2958;13.0003;6.5116;6.6321;0;0
G;109;0;0;0;0;0;0
G;110;9.3402;9.1044;4.538;5.1582;4.362;7.937
G;111;18.9822;18.8638;23.2775;35.4432;37.9915;36.9991
G;112;18.5209;11.3144;19.2662;22.2695;11.5257;0
G;113;10.9074;37.3645;42.1884;37.9929;0;0
G;114;9.8571;9.8714;9.0362;8.2855;6.6034;9.8287
G;115;0.2934;1.1763;1.4388;2.1173;5.0194;0
G;116;50.9335;66.9468;25.2964;20.4582;15.6126;32.4594
G;117;14.092;15.1545;6.3353;8.8551;7.0158;0
G;118;32.4696;31.8798;21.0672;27.8735;23.2053;29.1926
G;119;12.3872;5.0024;4.7963;4.5639;2.0775;2.9832
G;120;19.1841;12.9598;12.5235;12.2626;4.7174;7.4472
G;121;9.9821;15.5649;11.4859;53.615;44.9376;33.8963
G;122;20.6455;19.2521;39.3343;5.749;5.8023;0
G;123;22.6247;21.5002;22.5048;18.767;0;0
G;124;24.0454;11.64;19.848;18.9199;12.7711;12.2302
G;125;11.4701;8.4116;19.7868;41.6576;10.2618;34.263
G;126;6.3015;15.2567;10.3461;7.279;6.7166;13.8207
G;127;7.5448;9.7883;6.9335;11.3439;11.8059;5.2725
G;128;5.3773;6.181;5.1905;3.6645;2.6606;4.366
G;129;10.2256;10.4146;13.5189;12.5899;0;0
G;130;3.8528;6.4185;5.5421;33.4256;16.74;0
G;131;48.1183;52.2382;49.3202;51.1872;62.139;0
G;132;0;0;0;0;5.8387;10.9964
G;133;41.1976;37.9195;19.5669;4.7161;4.9785;0
G;134;19.8834;13.3271;11.3579;7.0497;0;0
G;135;41.7791;41.0037;34.5111;8.8757;10.9982;7.237
G;136;13.433;17.6689;17.1118;22.0312;11.8678;24.8436
G;137;11.402;18.1448;11.9958;8.9982;0;0
G;138;24.3351;33.5821;33.981;52.2788;0;0
G;139;19.3204;66.0775;83.8226;70.9748;73.7502;0
G;140;6.1739;11.8996;5.5086;8.2143;68.8892;0
G;141;13.3293;14.8692;7.057;11.8144;0;0
G;142;12.6153;24.1037;6.0112;5.4635;6.0673;0
G;143;12.632;9.8897;6.3884;6.5153;0;0
G;144;3.9782;4.4416;2.4694;6.5538;0;0
G;145;8.5307;10.5463;32.6352;13.3943;15.0518;0
G;146;12.0337;13.8386;3.8437;3.1316;0;0
G;147;5.0313;6.4083;4.9482;17.8519;3.2971;0
G;148;12.5343;31.656;27.3272;19.4975;21.6304;0
G;149;14.9713;21.0232;29.8149;24.62;0;0
G;150;0;0;0;15.0857;20.0512;0
G;151;37.8014;41.6747;38.2953;23.846;0;0
G;152;0;0;0;7.5869;6.4613;5.2985
G;153;18.6336;20.7784;36.466;49.1175;0;0
G;154;21.5144;18.1264;11.913;3.1605;7.7786;7.2568
G;155;16.4598;15.9712;12.167;8.1104;9.4939;0
G;156;18.7142;27.626;26.9307;24.6899;0;0
G;157;14.7377;17.0182;10.8011;13.2506;10.5928;0
G;158;17.115;15.8688;11.8224;8.4259;8.8502;0
G;159;0;0;0;7.9596;9.8581;7.7354
G;160;47.6622;46.282;37.2504;38.4955;35.4637;0
G;161;25.3822;22.4699;44.4683;34.654;0;0
G;162;71.8215;75.3275;74.8761;84.3436;0;0
G;163;60.1704;12.1634;22.7242;8.8977;5.6293;2.9551
